INFO : [May-07 16:35:26,162] context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@6bdab91: startup date [Wed May 07 16:35:26 EDT 2014]; root of context hierarchy
INFO : [May-07 16:37:10,528] context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@e4ac00c: startup date [Wed May 07 16:37:10 EDT 2014]; root of context hierarchy
INFO : [May-07 16:37:10,912] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
DEBUG: [May-07 16:37:10,912] soap.saaj.SaajSoapMessageFactory - Using MessageFactory class [com.sun.xml.internal.messaging.saaj.soap.ver1_1.SOAPMessageFactory1_1Impl]
INFO : [May-07 16:37:10,920] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
DEBUG: [May-07 16:37:10,921] soap.saaj.SaajSoapMessageFactory - Using MessageFactory class [com.sun.xml.internal.messaging.saaj.soap.ver1_1.SOAPMessageFactory1_1Impl]
DEBUG: [May-07 16:37:10,989] client.core.WebServiceTemplate - Opening [org.springframework.ws.transport.http.HttpUrlConnection@7ae35bb7] to [http://localhost:8180/xdrwebservice/Dispatcher/XDRService]
DEBUG: [May-07 16:37:11,044] client.MessageTracing.sent - Sent request [SaajSoapMessage]
DEBUG: [May-07 16:37:11,209] client.core.WebServiceTemplate - Received error for request [SaajSoapMessage]
INFO : [May-07 16:38:24,761] context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@e4ac00c: startup date [Wed May 07 16:38:24 EDT 2014]; root of context hierarchy
INFO : [May-07 16:38:25,075] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
DEBUG: [May-07 16:38:25,076] soap.saaj.SaajSoapMessageFactory - Using MessageFactory class [com.sun.xml.internal.messaging.saaj.soap.ver1_1.SOAPMessageFactory1_1Impl]
INFO : [May-07 16:38:25,083] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
